,0
"['138kv', '3000ampere', '63ka', 'breakers', 'circuit']",3737
"['138kv', '3000ampere', '63ka', 'breaker', 'circuit']",672
"['contact', 'parts', 'set', 'stationary']",1050
"['circuit', 'contacts', 'moving', 'one', 'set']",1062
"['hydraulic', 'motor', 'pump', 'set']",432
"['coils', 'operating', 'set']",2094
"['pressure', 'set', 'switches']",2094
"['set', 'tripclose', 'valve']",666
"['auxiliary', 'consisting', 'set', 'switches']",3535
"['2tc', 'density', 'gas', 'monitor', 'series', 'solon', 'solon']",7998
"['bushings', 'one', 'pole', 'set']",4748
"['nozzles', 'one', 'pole', 'puffer', 'set']",6844
"['closing', 'devices', 'maintenance', 'set']",6754
"['except', 'friday', 'holidays', 'monday']",1443
"['diem', 'except', 'holidays', 'saturday']",422
"['diem', 'except', 'holidays', 'sunday']",3832
"['diem', 'holiday']",1443
"['except', 'holidays', 'saturday']",5540
"['except', 'holidays', 'sunday']",7463
['holiday'],1443
"['course', 'installation', 'maintenance', 'training']",6807
"['iv', 'laborer', 'layer', 'pipe', 'regular', 'time']",3453
"['iv', 'laborer', 'layer', 'pe', 'pipe', 'shift', 'time']",5891
"['iv', 'laborer', 'layer', 'pipe', 'premium', 'time']",3453
"['laborer', 'layer', 'lead', 'pipe', 'pric', 'regular', 'time']",1033
"['laborer', 'layer', 'lead', 'pipe', 'shift', 'time']",5891
"['laborer', 'layer', 'lead', 'pipe', 'premium', 'pric', 'time']",1033
"['laborer', 'layer', 'pipe', 'regular', 'supervisor', 'time']",3378
"['laborer', 'layer', 'pipe', 'shift', 'supervisor', 'time']",8325
"['laborer', 'layer', 'pipe', 'premium', 'supervisor', 'time']",3453
"['backhoe', 'engineer', 'iii', 'operating', 'regular', 'tim']",4656
"['backhoe', 'engineer', 'iii', 'operating', 'shift', 'time']",4163
"['backhoe', 'engineer', 'iii', 'operating', 'premium', 'tim']",7153
"['crane', 'equipment', 'ix', 'operator', 'regular', 'time']",5553
"['crane', 'equipment', 'ix', 'operator', 'shift', 'time']",5553
"['crane', 'equipment', 'ix', 'operator', 'premium', 'time']",5553
"['crane', 'grader', 'operator', 'p', 'regular', 'time', 'x']",3152
"['crane', 'grader', 'operator', 'pri', 'shift', 'time', 'x']",7495
"['crane', 'grader', 'operator', 'p', 'premium', 'time', 'x']",7495
"['engineer', 'operating', 'regular', 'supervisor', 'time']",2006
"['engineer', 'operating', 'p', 'shift', 'supervisor', 'time']",7153
"['engineer', 'operating', 'premium', 'supervisor', 'time']",2461
"['driver', 'hour', 'o', 'regular', 'time', 'truck']",3220
"['driver', 'hour', 'shift', 'time', 'truck']",3220
"['driver', 'hour', 'o', 'premium', 'time', 'truck']",3220
