Org Name,Grouping
ACCT & FIN RPT EXEC,ADM
ACCTG & FIN REPORTING,ADM
ADMINISTRATIVE SERVICES,WP
AIR QUALITY,AQ
ARCHITECTURAL DESIGN,AD
AVIATION SERVICES,AV
BISHOP CONSTRUCTION,N
BUDGET OFFICE,ADM
BUSINESS SERVICES,ADM
CAO ADMIN,ADM
CASTAIC HYDRO GEN-STR 13,PS-C
CENTRAL DISTRICT,W
CENTRAL-STORE 37,PD
CHIEF ADMIN OFF-EXEC OFF,ADM
CIVIL DESIGN,P
CIVIL/STRUCTURAL DESIGN,W
COMMISSION OFFICE,ADM
COMMUNICATIONS,ADM
COMMUNITY RELATIONS,ADM
CONSTR & MTC-MOJAVE,WMO
CONSTRUCTION SUPPORT,W
CONTROL SYSTEMS NETWK,IT
CORPORATE COMMUNICATIONS,ADM
CORPORATE PURCHASING,ADM
CRAFTS,WP
CUSTODIAL SERVICES,J
CUSTOMER CONTACT CENTER,J
CUSTOMER CREDIT GROUP,J
CUSTOMER SERVICE CENTERS,J
"DEBTS, INVEST & RISK",J
DER PROGRAMS,J
DISTRIBUTION ENGINEERING,PD
EAST VALLEY DISTRICT,W
EASTERN SIERRA ENVIRON,ESE
ECONOMIC DEVELOPMENT,ADM
EFFICIENCY SOLUTIONS,S
ELEC DIST MECH TRAIN BUS,PS
ELEC MECH TRNG PRG STAFF,PS
ELEC TROUBLE-STR 30,PD
ELEC VEHICL INFRSTRUCTURE,PS
ELECTRIC TRANSPORTN PROG,PS
ELECTRICAL DESIGN,PS
EMPLOYEE DEVELOPMT & SUPT,ADM
EMPLOYMENT SERVICES,ADM
ENERGY IMBALANCE MARKET,PS
ENERGY STORAGE,PS
ENGINEERING - NORTH,N
ENT CYBERSECURITY SERVS,IT
ENVRNMNTL AFFRS/ADMN SVCS,EA
ESM/EL CNST-VALLEY STR 69,PS
ESM/EL CONST-METRO STR 31,PS
ESM/EL CONST-WLA STR 61,PS
EV SERVICE DESIGN,P
FACILITIES MAINT - ADMIN,J
FACILITIES SVC-PLNG&DSGN,J
FIBER OPTIC ENTERPRISE,IT
FIELD COLLECTNS/FIELD SVC,FD
FIELD EXECUTIVE OFFICE,FD
FIELD INVESTIGATION,FD
FIELD OPERATIONS SUPPORT,FD
FIELD SUPPT-OWENS VALLEY,FDN
FIELD TRAINING & SAFETY,FD
FLEET CONTRACTS & ADMIN,FL
FLEET ENGINEERING,FL
FLEET MAINTENANCE,FL
FLEET MTC-AQUEDUCT,FL
FLEET OPERATIONS,FL
GEN CASTAIC POWER PLANT,PS-C
GEN EXECUTIVE OFFICE,PS
GEN HARBOR G.S.,PS
GEN HAYNES G.S.,PS
GEN OVES GENERATION,PS-N
GEN PINE TREE WND PWR PLN,PS-N
GEN SCATTERGOOD G.S.,PS
GEN SMALL HYDRO,PS
GEN STATION ELEC ENG III,PS
GEN STATN ELEC ENG I,PS
GEN STATN ELEC ENG II,PS
GEN STATN ELECT ENG I,PS
GEN STATN MECH ENG I,PS
GEN STATN MECH ENG II,PS
GEN STATN MECH ENG III,PS
GEN VALLEY G.S.,PS
GENERAL MANAGER'S OFFICE,J
GENERAL TOOLROOM-STORE 64,PD
HARBOR DISTRICT,W
HARBOR GEN STATION-STR 15,PS
HAYNES GEN STATION-STR 17,PS
HAZARDOUS MTL/WSTE-STR 95,J
HAZARDOUS SUBSTANCES,J
HEALTH PLANS ADM,ADM
HYDROGRAPHICS-NORTH,HN
IG PRINTING SERVICES,J
IG REPROGRAPHICS SERVICES,J
INDEPENDENCE CONSTR,WN
INDUSTRIAL GRAPHICS ADMIN,J
INFORMATION TECH USER SVC,IT
INFRASTRUCTURE SYSTEMS,IT
INT GEN EASTERN STATIONS,PS-N
INT GEN GRID OPERATIONS,PS
INT GEN SUBSTATN OPRNS,PS
INT GEN SYLMAR,PS
INTERGOVERNMENTAL AFFAIRS,ADM
IT CORPORATE PROGRAM MGMT,IT
IT'S A&TS DVS WAREHOUSE,ITW
ITS ADMIN SERVICES,IT
ITS CABLE TRNSPT ENG-DRFT,IT
ITS DIVISION OFFICE,IT
ITS TS MOBILE INSTALL SHP,IT
ITS VOICE ENGINEERING,IT
ITSTELCOM:INSIDE CBLE SHP,IT
ITSTELCOM:VOICE NTWRK SRV,IT
JFB FACILTES MGMT WAREHSE,J
JFB OPERATION & MAINT,J
LANDSCAPING SERVICES,J
LINCOLN HEIGHTS-STORE 32,P
LINCOLN HGHTS:MTR STR 51,PD
MAIL CENTER,J
MAIN ST-STORE 2,WP
MAJOR PROJECT I,MJ
MAJOR PROJECT II,MJ
MARKETING,ADM
MARKETING AND ECON DEVLPM,ADM
MATERIALS MGMT CONTROL,J
MECHANICAL DESIGN,W
METER READING,MTR
METERS & SERVICES,MTR
NETWORK ENG & SECURITY,IT
NO DISTRICT ADMIN,WN
OCCUPATIONAL HEALTH SRVCS,ADM
OFF OF SFTY EXC OFF & ADM,ADM
OFFICE OF CITY ATTORNEY,ADM
OFFICE OF DEI,ADM
OFFICE OF EMER MGMT,ADM
OWENS LAKE CONSTRUCTION,O
