Org Name,Count,Grp,
ADMINISTRATIVE SERVICES,1682,WP,WATER AND POWER
ARCHITECTURAL DESIGN,23,AD,ARCH DESIGN
AVIATION SERVICES,55,AV,AVIATION
BISHOP CONSTRUCTION,270,N,NORCAL
BUDGET OFFICE,1,ADM,ADMIN
BUS APP DEVLPMT & SUPPT,2,ADM,
BUSINESS SERVICES,61,ADM,
BUSINESS SYS SUPPT SECTN,3,ADM,
CAO ADMIN,39,ADM,
CIS REPLACEMENT PROJ STFF,11,OT,OTHER
CIVIL DESIGN,41,P,POWER
CIVIL/STRUCTURAL DESIGN,212,W,WATER
COMMISSION OFFICE,43,ADM,
COMMUNICATIONS,309,ADM,
COMMUNITY RELATIONS,323,ADM,
CONSTR & MTC-MOJAVE,1283,WMO,WATER MOJAVE
CONSTRUCTION SUPPORT,5004,W,
CORPORATE HEALTH & SAFETY,14,ADM,
CORPORATE PERFORMANCE,7,ADM,
CORPORATE PURCHASING,19,ADM,
CORPORATE SERVICES ADMIN,8,ADM,
CRAFTS,559,WP,
CREDIT AND REVENUE RISK,2,ADM,
"CST, FIXED ASSETS & OH",11,J,JOINT
CUSTMR SRVCES SUPPT (CSS),54,J,
CUSTOMER CONTACT CENTER,36,J,
CUSTOMER CREDIT GROUP,47,J,
CUSTOMER SERVICE CENTERS,38,J,
CUSTOMER SERVICE EXEC OFF,12,J,
DATACENTER OPERATIONS,190,IT,INFO TECH
"DEBTS, INVEST & RISK",50,J,
DEI-EMPLOYEE DEVELOPMENT,3,ADM,
DEI-EMPLOYMENT SERVICES,8,ADM,
DEI-RECRUITMENT SVCS,9,ADM,
DISBURSEMENTS,15,ADM,
DISTRIBUTION ENGINEERING,78,PD,POWER DISTRIBUTION
DSTRB ENRGY RESRCE PLNG,1,PD,
EASTERN SIERRA ENVIRON,147,ESE,EASTER SIERRA ENVIRON
EFFICIENCY SOLUTIONS,87,S,SUSTAINABILITY
ELEC TROUBLE-STR 30,7,PD,
ELECTRIC TRANSPORTN PROG,1462,PS,
ELECTRIC TRANSPORTN PROGS,107,PS,
ELECTRICAL DESIGN,37,PS,
EMP HEALTH & BENEFITS ADM,49,ADM,
EMPLOYMENT SERVICES,9,ADM,
ENGINEERING - NORTH,720,N,
ENRGY STRG & NEW TCHNLGY,1,P,
ENT CYBERSECURITY SERVS,8,IT,
ENVRNMNTL AFFRS/ADMN SVCS,166,EA,ENVIRON AFFAIR
ESM/EL CNST-VALLEY STR 69,28,PS,
ESM/EL CONST-METRO STR 31,99,PS,
FACILITIES MAINT - ADMIN,565,J,
FACILITIES SRVC-ADMIN,18,J,
FACILITIES SVC-PLNG&DSGN,37,J,
FIBER OPTIC ENTERPRISE,21,IT,
FIELD COLLECTNS/FIELD SVC,56,FD,FIELD
FIELD EXECUTIVE OFFICE,450,FD,
FIELD TRAINING & SAFETY,7,FD,
FLEET ENGINEERING,246,FL,FLEET
FLEET MAINTENANCE,2263,FL,
FLEET MTC-AQUEDUCT,118,FL,
FLEET OPERATIONS,2857,FL,
GEN ADMIN SERVICES,9,PS,POWER SUPPLY
GEN CASTAIC POWER PLANT,7,PS-C,POWER SUPPLY CASTAIC
GEN EXECUTIVE OFFICE,2,PS,
GEN HARBOR G.S.,30,PS,
GEN HAYNES G.S.,222,PS,
GEN PINE TREE WND PWR PLN,10,PS-N,POWER SUPPLY NORCAL
GEN STATN ELEC ENG II,144,PS,
GEN STATN ELECT ENG I,94,PS,
GEN STATN MECH ENG I,1055,PS,
GEN STATN MECH ENG II,196,PS,
GEN STATN MECH ENG III,30,PS,
GEN VALLEY G.S.,4,PS,
GENERAL MANAGER'S OFFICE,36,J,
GENERATION DIVISION,1,P,
GEOLOGY & RESRVR SRVILLNC,4,J,
GEOTECHNICAL ENGINEERING,37,J,
GROUNDWATER REMEDIATION,7,J,
HAZARDOUS SUBSTANCES,6,J,
HEALTH PLANS ADM,44,ADM,
HR ADMINISTRATIVE SERVCS,4,ADM,
HR EXECUTIVE OFFICE,2,ADM,
IG REPROGRAPHICS SERVICES,10,J,
INDEPENDENCE CONSTR,486,WN,WATER NORCAL
INDUSTRIAL GRAPHICS ADMIN,393,J,
INDUSTRIAL HYGIENE,696,J,
INFORMATION TECH USER SVC,176,IT,
INFRASTRUCTURE SYSTEMS,1,IT,
INT GEN GRID OPERATIONS,9,PS,
INT GEN SUBSTATN OPRNS,10,PS,
INTERNAL AUDIT,7,ADM,
IT'S A&TS DVS WAREHOUSE,1070,ITW,IT WAREHOUSE
